Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg
TJ Jones,NYG,WR,3,25.13,0,421,326,0,0,0,0,0,0,3,38,1,2,0,0,8.37666666666667,0,0,0,0,0,0,0.6,10,0,0.6
DaeSean Hamilton,Den,WR,7,25.07,0.07,233,327,0,0,0,0,0,0,11,106,0,7,0,0,3.58142857142857,0,0,0,0,0,0,0.666666666666667,6.33333333333333,0,0.333333333333333
Devin Smith,Dal,WR,4,24.53,0.01,385,329,0,0,0,0,0,0,5,113,1,4,0,0,6.1325,0,0,0,0,0,0,0.666666666666667,6.16666666666667,0,0.333333333333333
C.J. Prosise,Sea,RB,6,24.50,0,382,330,0,0,0,41,1,3,9,66,0,2,0,1,4.08333333333333,0,0,0,0.428571428571429,0,0.285714285714286,0.428571428571429,4.57142857142857,0,0.142857142857143
Jeremy Sprinkle,Was,TE,7,24.47,0,347,331,0,0,0,0,0,0,11,112,0,6,0,0,3.49571428571429,0,0,0,1.5,0.166666666666667,0.166666666666667,0.333333333333333,1,0,0
Ty Johnson,Det,RB,6,24.13,0.68,190,333,0,0,0,83,0,2,8,35,0,2,0,0,4.02166666666667,0,0,0,0.833333333333333,0,0,0.666666666666667,6.5,0,0.166666666666667
Ryan Griffin,NYJ,TE,6,24.07,0,372,334,0,0,0,0,0,0,9,46,1,4,0,0,4.01166666666667,0,0,0,7,0,0.5,2,9,0,0
Dontrelle Inman,LAC,WR,4,23.80,0.01,423,335,0,0,0,0,0,0,8,132,0,7,0,0,5.95,0,0,0,0,0,0,0.333333333333333,8.66666666666667,0,0.333333333333333
De'Anthony Thomas,KC,WR,6,23.80,0,424,336,0,0,0,4,0,1,1,6,0,0,0,0,3.96666666666667,0,0,0,18,0,0,3,20,0,1
Ray-Ray McCloud III,Buf,WR,6,23.60,0,426,337,0,0,0,0,0,0,0,0,0,0,0,1,3.93333333333333,0,0,0,1.28571428571429,0,0.428571428571429,0.142857142857143,2.14285714285714,0,0.142857142857143
Jake Kumerow,GB,WR,5,23.13,0.02,373,338,0,0,0,0,0,0,6,92,1,3,0,0,4.626,0,0,0,0,0,0,0,0,0,0
Damion Ratley,Cle,WR,5,23.07,0,389,339,0,0,0,0,0,0,8,103,0,7,0,0,4.614,0,0,0,0,0,0,0.333333333333333,4.5,0,0.166666666666667
