Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg,l_touchdown,l_ppr
Kenyan Drake,Mia,RB,16,259.60,56%,50,0,0,0,535,4,23,53,477,5,23,0,1,16.225,0,0,0,0,0,0,6.57142857142857,75.1428571428571,0.571428571428571,3.71428571428571,0.326530612244897,43.18367346938770
Chris Carson,Sea,RB,14,245.97,99%,58,0,0,0,1151,9,61,20,163,0,7,0,2,17.5692857142857,0,0,0,0.142857142857143,0,0,5.71428571428571,80,0.571428571428571,4.28571428571429,0.326530612244897,32.65306122448970
Tevin Coleman,SF,RB,16,237.40,90%,63,0,0,0,800,4,36,32,276,5,15,0,0,14.8375,0,0,0.142857142857143,0,0,0,7,72.5714285714286,0.428571428571429,4.57142857142857,0.183673469387755,49
Nick Chubb,Cle,RB,16,229.53,100%,67,0,0,0,996,8,47,20,149,2,5,0,0,14.345625,0,0,0,101.166666666667,1,3.33333333333333,3.33333333333333,21.3333333333333,0,1,1,11.11111111111110
Derrick Henry,Ten,RB,16,229.06,99%,69,14,0,0,1059,12,51,15,99,0,4,0,1,14.31625,0,0,0,2.85714285714286,0,0.142857142857143,4.71428571428571,83,0.714285714285714,3.14285714285714,0.510204081632653,22.22448979591830
Adrian Peterson,Was,RB,16,226.07,52%,71,0,0,0,1042,7,47,20,208,1,9,0,2,14.129375,0,0,0,0.428571428571429,0,0,6.28571428571429,80.5714285714286,0.428571428571429,4.28571428571429,0.183673469387755,39.51020408163270
Jordan Howard,Phi,RB,16,217.17,83%,80,0,0,0,935,9,53,20,145,0,7,0,1,13.573125,2.16666666666667,0,0,62.1666666666667,0.166666666666667,3,5.5,46,0.166666666666667,2,0.111111111111112,30.3
Marlon Mack,Ind,RB,12,211.67,98%,90,0,0,0,908,9,50,17,103,1,3,2,2,17.6391666666667,0,0,0,67.1428571428571,1,4,1.71428571428571,13.7142857142857,0,0.857142857142857,1,2.93877551020407
Aaron Jones,GB,RB,12,203.53,100%,98,0,0,0,728,8,41,26,206,1,12,0,1,16.9608333333333,0,0,0,72.2857142857143,0.714285714285714,4,1,17.1428571428571,0.142857142857143,0.285714285714286,0.73469387755102,1
Lamar Miller,Hou,RB,14,203.17,4%,101,0,0,0,973,5,36,25,163,1,8,0,1,14.5121428571429,0,0,0,0,0,0,5.14285714285714,80.5714285714286,0.428571428571429,3.71428571428571,0.183673469387755,26.44897959183670
Matt Breida,SF,RB,14,199.80,88%,104,0,0,0,814,3,36,27,261,2,12,0,1,14.2714285714286,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,3.85714285714286,55.8571428571429,0.857142857142857,2.42857142857143,1,14.87755102040820
T.J. Yeldon,Buf,RB,14,198.87,1%,106,0,0,0,414,1,16,55,487,4,20,0,1,14.205,0,0,0,0,0,0,6.83333333333333,77.3333333333333,0.5,4.5,0.25,46.69444444444440
Austin Ekeler,LAC,RB,14,198.33,97%,107,0,0,0,554,3,25,39,404,3,18,0,1,14.1664285714286,0,0,0,2.57142857142857,0,0.142857142857143,4.28571428571429,80.2857142857143,0.571428571428571,2.71428571428571,0.326530612244897,18.36734693877550
Nyheim Hines,Ind,RB,16,192.73,13%,110,0,0,0,314,2,17,63,425,2,29,0,0,12.045625,0,0,0,92.3333333333333,0.666666666666667,4.66666666666667,1.5,14.5,0,0.5,0.444444444444445,2.3
Sony Michel,NE,RB,13,190.13,97%,113,0,0,0,931,6,54,7,50,0,3,0,1,14.6253846153846,0,0,0,0.666666666666667,0,0,5,64.5,0.833333333333333,3.5,0.694444444444444,25
Peyton Barber,TB,RB,16,184.23,39%,116,0,0,0,871,5,41,20,92,1,4,0,1,11.514375,0,0,0,1.16666666666667,0,0,7.33333333333333,80.8333333333333,0.333333333333333,4,0.111111111111111,53.77777777777770
Dion Lewis,Ten,RB,16,182.37,13%,118,0,0,0,517,1,22,59,400,1,13,0,1,11.398125,0,0,0,39.1666666666667,0.5,2.33333333333333,4.33333333333333,38.5,0.333333333333333,2,0.694444444444444,18.77777777777780
Dalvin Cook,Min,RB,11,178.83,100%,126,0,0,0,615,2,22,40,305,2,15,0,2,16.2572727272727,0,0,0,61.8571428571429,0.571428571428571,2.85714285714286,2.85714285714286,20.4285714285714,0,1.14285714285714,0.326530612244897,8.16326530612247
Kerryon Johnson,Det,RB,10,171.30,61%,133,0,0,0,641,3,32,32,213,1,11,0,1,17.13,0,0,0,42,0,2.28571428571429,3.85714285714286,29.8571428571429,0.428571428571429,1.14285714285714,0.183673469387755,14.87755102040820
Jalen Richard,Oak,RB,16,168.67,3%,140,0,0,0,259,1,11,68,607,0,23,0,2,10.541875,0,0,0,0,0,0,4,69.8333333333333,0.833333333333333,3.5,0.694444444444444,16
Mark Ingram II,Bal,RB,12,165.83,98%,145,0,0,0,645,6,34,21,170,1,5,0,1,13.8191666666667,0,0,0,0,0,0,4.5,77.3333333333333,0.666666666666667,3.33333333333333,0.444444444444445,20.3
Mike Davis,Chi,RB,15,158.67,3%,152,0,0,0,514,4,25,34,214,1,10,0,0,10.578,0,0,0,0,0,0,5.42857142857143,77.2857142857143,0.142857142857143,4.14285714285714,0.0204081632653062,29.46938775510210
Duke Johnson,Hou,RB,16,157.70,60%,154,0,0,0,201,0,9,47,429,3,25,2,0,9.85625,0,0,0,0,0,0,5.14285714285714,64.1428571428571,0.428571428571429,3.14285714285714,0.183673469387755,26.44897959183670
Isaiah Crowell,Oak,RB,13,156.63,0%,158,0,0,0,685,6,26,21,152,0,7,0,0,12.0484615384615,5.33333333333333,0,0,1.5,0,0.166666666666667,6.33333333333333,74.8333333333333,0.333333333333333,3.33333333333333,0.111111111111111,40.11111111111110
Doug Martin,Oak,RB,16,151.03,0%,173,0,0,0,723,4,37,18,116,0,6,0,3,9.439375,0,0,0,0.666666666666667,0,0,5.5,78.8333333333333,0.333333333333333,4.33333333333333,0.111111111111111,30.3
